unit_number,time_in_cycles,RUL,RUL_capped,predicted_RUL,failure_risk,predicted_failure_risk,maintenance_priority,recommendation,asset_health_score,degradation_index,absolute_error
1,31,112,112,123.88846341917989,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,83.4449364397263,-0.611641140153999,11.888463419179885
2,49,98,98,120.36229993161677,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,68.07764228704877,-0.22963021997945982,22.362299931616775
3,126,69,69,66.15406537264015,Medium Risk,Medium Risk,Planned Inspection,Plan inspection and increase monitoring frequency.,46.88756439763374,0.2971275210178507,2.8459346273598527
4,106,82,82,82.8825006596195,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,47.61868936248431,0.278952706518287,0.8825006596194953
5,98,91,91,92.78738161211324,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,59.75051881419048,-0.022628774658693986,1.7873816121132364
6,105,93,93,84.99989908759497,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,61.9371575236519,-0.07698576536841384,8.000100912405031
7,160,91,91,103.03420582064496,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,72.16798909849061,-0.3313109149507106,12.034205820644956
8,166,95,95,74.07421464373925,Low Risk,Medium Risk,Planned Inspection,Plan inspection and increase monitoring frequency.,50.86708950155033,0.1982017093752083,20.925785356260747
9,55,111,111,118.35328771373327,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,59.56209549218489,-0.017944816252837777,7.353287713733266
10,192,96,96,103.39028911143555,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,62.30394009064019,-0.08610350233154476,7.39028911143555
11,83,97,97,95.87331569074196,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,48.61241705220429,0.2542499302597413,1.1266843092580388
12,217,124,124,106.48414841677119,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,62.27432074499957,-0.08536720397148705,17.51585158322881
13,195,95,95,95.00777213051624,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,54.80720902219854,0.10025546921566593,0.007772130516244147
14,46,107,107,120.66841080470004,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,58.345193272966526,0.012305788174165274,13.668410804700045
15,76,83,83,116.51072771011805,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,84.04227052811332,-0.6264900876973493,33.51072771011805
16,113,84,84,95.23343612699179,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,73.79391941915046,-0.3717294253119981,11.23343612699179
17,165,50,50,47.211215398633044,Medium Risk,Medium Risk,Planned Inspection,Plan inspection and increase monitoring frequency.,47.168057862795145,0.29015481875389465,2.788784601366956
18,133,28,28,52.24248122693593,High Risk,Medium Risk,Planned Inspection,Plan inspection and increase monitoring frequency.,38.107575194527044,0.5153866186363414,24.24248122693593
19,135,87,87,93.3407322552452,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,65.03695762156971,-0.15404275900684067,6.3407322552452
20,184,16,16,21.97687491604724,High Risk,High Risk,Urgent Maintenance,Schedule urgent maintenance within the next operational window.,11.383352391070956,1.179715995211651,5.97687491604724
21,148,57,57,59.87263459481276,Medium Risk,Medium Risk,Planned Inspection,Plan inspection and increase monitoring frequency.,66.25588550961321,-0.18434371892285645,2.8726345948127587
22,39,111,111,121.33958444579703,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,76.51579625125264,-0.4393917387227128,10.33958444579703
23,130,113,113,106.28144637634657,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,82.49487738999723,-0.5880239094169977,6.718553623653435
24,186,20,20,24.264079543749283,High Risk,High Risk,Urgent Maintenance,Schedule urgent maintenance within the next operational window.,25.330220136683145,0.8330150257292904,4.264079543749283
25,48,145,125,119.89716176067934,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,72.96971115832842,-0.3512406812947423,5.102838239320661
26,76,119,119,108.8802298579502,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,83.92651675821902,-0.6236125997211538,10.119770142049802
27,140,66,66,90.97696925574752,Medium Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,68.32677799097877,-0.2358234091356682,24.97696925574752
28,158,97,97,86.57148823792832,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,58.81919005282881,0.0005228455015015714,10.428511762071679
29,171,90,90,103.17906468444164,Low Risk,Low Risk,Normal Monitoring,Continue normal monitoring under standard maintenance schedule.,67.54948093324138,-0.21650081653575462,13.179064684441641
30,143,115,115,74.99234047222356,Low Risk,Medium Risk,Planned Inspection,Plan inspection and increase monitoring frequency.,50.9308489147304,0.19661673339591668,40.00765952777644
31,196,8,8,16.199889272295596,Critical Risk,High Risk,Urgent Maintenance,Schedule urgent maintenance within the next operational window.,4.442390041613164,1.3522592801692839,8.199889272295596
