unit_number,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,max_cycle,RUL,RUL_capped,failure_risk,degradation_index,thermal_stress_index,efficiency_loss_index,cycle_log,cycle_ratio,operational_setting_magnitude,asset_health_score
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,192,191,125,Low Risk,-0.7331595966151544,-0.636288059063046,-0.9995563248834525,0.6931471805599453,0.0027624309392265192,0.0008062257748298549,88.33330419781213
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,192,190,125,Low Risk,-0.6149930288123819,-0.48770087273117324,-0.9650464580357063,1.0986122886681098,0.0055248618784530384,0.0019235384061671345,83.57977410079856
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,192,189,125,Low Risk,-0.7383936157787312,-0.6781638663651216,-0.9040254266661564,1.3862943611198906,0.008287292817679558,0.004310452412450461,88.54385501675385
1,4,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,192,188,125,Low Risk,-0.8295937916906895,-0.7390446834405814,-1.0786038393784865,1.6094379124341003,0.011049723756906077,0.0007,92.21259812329819
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,192,187,125,Low Risk,-0.6035127788023129,-0.523881957758024,-0.8224975366741067,1.791759469228055,0.013812154696132596,0.00191049731745428,83.11795385029262
1,6,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,192,186,125,Low Risk,-0.9065929884279682,-0.9224732099067825,-0.8629223793612284,1.9459101490553132,0.016574585635359115,0.004301162633521313,95.31007320396087
1,7,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,192,185,125,Low Risk,-0.7629155179325722,-0.612385591652899,-1.1768728152016736,2.0794415416798357,0.019337016574585635,0.001004987562112089,89.53030661716643
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,192,184,125,Low Risk,-0.8512411992056333,-0.886153724647454,-0.7552317542406266,2.1972245773362196,0.022099447513812154,0.0034132096331752023,93.08341636789977
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,192,183,125,Low Risk,-0.8260607796080912,-0.8312078235419833,-0.8119064087898882,2.302585092994046,0.024861878453038673,0.0008062257748298549,92.07047434345064
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,192,182,125,Low Risk,-0.7149120263437215,-0.6874695210804704,-0.7903789158176622,2.3978952727983707,0.027624309392265192,0.0033015148038438354,87.59925245969782
1,11,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,192,181,125,Low Risk,-0.7961291561099401,-0.7459342819525431,-0.9341650600427819,2.4849066497880004,0.03038674033149171,0.0018248287590894659,90.86640388768166
1,12,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,192,180,125,Low Risk,-0.9035665085654935,-0.8794806255198839,-0.96980268694092,2.5649493574615367,0.03314917127071823,0.0016124515496597099,95.18832588251634
1,13,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,192,179,125,Low Risk,-0.3681015064375419,-0.3952859080826864,-0.2933444019133949,2.6390573296152584,0.03591160220994475,0.00194164878389476,73.64797778878987
1,14,0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,192,178,125,Low Risk,-0.6765636339135332,-0.5157667445005877,-1.1187550797991337,2.70805020110221,0.03867403314917127,0.0009,86.05659753640987
1,15,-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100.0,38.99,23.35,192,177,125,Low Risk,-0.6604593856750728,-0.6007209588594145,-0.8247400594181333,2.772588722239781,0.04143646408839779,0.0018248287590894659,85.40876600406757
1,16,0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.0,38.97,23.455,192,176,125,Low Risk,-0.6893728363422771,-0.6557054696263557,-0.7819580948110607,2.833213344056216,0.04419889502762431,0.0007810249675906653,86.57187804591405
1,17,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.0,38.81,23.3319,192,175,125,Low Risk,-0.5064547259911467,-0.5552019818020959,-0.3723997725110362,2.8903717578961645,0.04696132596685083,0.000282842712474619,79.2135637696273
1,18,-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,14.62,21.61,554.2,2388.05,9049.55,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100.0,38.89,23.3987,192,174,125,Low Risk,-0.6349656370987478,-0.6090472269667033,-0.7062412649618699,2.9444389791664403,0.049723756906077346,0.0031016124838541643,84.38321957924863
1,19,0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100.0,38.8,23.3464,192,173,125,Low Risk,-0.6861536784648103,-0.7540682118961815,-0.4993887115285393,2.995732273553991,0.052486187845303865,0.0032140317359976396,86.4423797949103
1,20,-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.9,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100.0,39.03,23.422,192,172,125,Low Risk,-0.7924962947651706,-0.6330155063325787,-1.2310684629547985,3.044522437723423,0.055248618784530384,0.0037013511046643495,90.72026343474523
1,21,-0.0012,0.0001,100.0,518.67,642.37,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100.0,39.09,23.3101,192,171,125,Low Risk,-0.7226127142502692,-0.6333546224893373,-0.968072466592832,3.091042453358316,0.058011049723756904,0.0012041594578792293,87.90903087174901
1,22,0.0002,0.0,100.0,518.67,642.77,1592.93,1400.57,14.62,21.61,553.63,2388.04,9061.21,1.3,47.24,522.0,2388.03,8130.41,8.4034,0.03,392,2388,100.0,38.92,23.3792,192,170,125,Low Risk,-0.5500950744696318,-0.5235654797112436,-0.6230514600551996,3.1354942159291497,0.06077348066298342,0.0002,80.9691001602829
1,23,0.0034,-0.0003,100.0,518.67,642.14,1588.19,1394.75,14.62,21.61,553.98,2388.05,9046.28,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392,2388,100.0,38.94,23.4562,192,169,125,Low Risk,-0.7533079877892269,-0.7491647645865069,-0.7647018515967071,3.1780538303479458,0.06353591160220995,0.0034132096331752023,89.14382095930605
1,24,-0.001,0.0003,100.0,518.67,642.38,1590.83,1398.81,14.62,21.61,553.49,2388.12,9043.76,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100.0,39.0,23.3696,192,168,125,Low Risk,-0.603678852645337,-0.5628152715469604,-0.716053700665872,3.2188758248682006,0.06629834254143646,0.001044030650891055,83.1246345640158
1,25,0.0023,-0.0004,100.0,518.67,642.77,1594.1,1399.39,14.62,21.61,554.0,2388.02,9054.16,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,2388,100.0,38.95,23.4288,192,167,125,Low Risk,-0.6416798816524959,-0.4846833186834566,-1.0734204298173544,3.258096538021482,0.06906077348066299,0.0023345235059857505,84.65331597079503
1,26,0.0,0.0002,100.0,518.67,642.16,1589.08,1396.07,14.62,21.61,554.11,2388.07,9047.11,1.3,47.26,522.28,2388.06,8131.15,8.426,0.03,394,2388,100.0,38.86,23.4149,192,166,125,Low Risk,-0.6206746118725521,-0.5361937038992278,-0.8529971087991939,3.295836866004329,0.0718232044198895,0.0002,83.80832923764808
1,27,-0.0012,-0.0004,100.0,518.67,642.44,1590.47,1401.84,14.62,21.61,554.07,2388.02,9047.96,1.3,47.37,522.0,2388.13,8134.6,8.4046,0.03,393,2388,100.0,38.99,23.4472,192,165,125,Low Risk,-0.5860877291122348,-0.4351394035407712,-1.0011956244337596,3.332204510175204,0.07458563535911603,0.0012649110640673515,82.41698995090957
1,28,-0.0024,0.0005,100.0,518.67,642.35,1582.84,1399.13,14.62,21.61,554.68,2388.12,9049.84,1.3,47.41,522.57,2388.08,8127.3,8.4323,0.03,390,2388,100.0,39.01,23.2841,192,164,125,Low Risk,-0.747704541744838,-0.649527232681585,-1.017692141668783,3.367295829986474,0.07734806629834254,0.0024515301344262526,88.91840906900345
1,29,0.0012,-0.0001,100.0,518.67,641.91,1584.83,1400.99,14.62,21.61,554.25,2388.05,9050.47,1.3,47.24,522.41,2388.06,8133.06,8.4189,0.03,393,2388,100.0,38.93,23.3597,192,163,125,Low Risk,-0.7405162023386126,-0.6803603883764862,-0.9059446907344608,3.4011973816621555,0.08011049723756906,0.0012041594578792293,88.62924108900361
1,30,-0.0022,0.0,100.0,518.67,642.2,1593.52,1396.08,14.62,21.61,554.37,2388.07,9045.62,1.3,47.4,522.19,2388.0,8137.86,8.4065,0.03,390,2388,100.0,39.05,23.411,192,162,125,Low Risk,-0.8546804107084774,-0.7473926447735171,-1.1497217670296183,3.4339872044851463,0.08287292817679558,0.0022,93.22176679723653
1,31,0.0014,0.0005,100.0,518.67,642.02,1584.18,1396.9,14.62,21.61,554.13,2388.08,9058.78,1.3,47.41,521.95,2388.06,8125.28,8.4104,0.03,392,2388,100.0,38.94,23.3353,192,161,125,Low Risk,-0.6909054491782085,-0.6971947209422306,-0.6736099518271477,3.4657359027997265,0.0856353591160221,0.0014866068747318507,86.63353102761721
1,32,0.0005,-0.0003,100.0,518.67,642.33,1591.38,1400.36,14.62,21.61,554.96,2388.04,9050.97,1.3,47.25,521.92,2388.07,8129.7,8.4148,0.03,392,2388,100.0,39.02,23.4999,192,160,125,Low Risk,-0.8048854456967562,-0.592600958201121,-1.3886677863097525,3.4965075614664802,0.08839779005524862,0.00058309518948453,91.21864637777894
